2026-08-21 19:19 | brkX2-12h | TURBOUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 7.18x); RSI<60 (skrg 82.0); Stoch%K<70 (skrg 87.6)
2026-08-21 19:19 | brkX2-12h | EIGENUSDT | lolos 6/9 | belum: RSI<60 (skrg 74.0); Stoch%K<70 (skrg 92.2)
2026-08-21 19:19 | brkX2-12h | BNSOLUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 6.15x); RSI<60 (skrg 88.3); Stoch%K<70 (skrg 92.5)
2026-08-21 19:19 | brkX2-12h | PNUTUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 84.1); Stoch%K<70 (skrg 95.0)
2026-08-21 19:19 | brkX2-12h | PENGUUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 81.4); Stoch%K<70 (skrg 91.6)
2026-08-21 19:19 | brkX2-12h | BIOUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 78.3); Stoch%K<70 (skrg 76.4)
2026-08-21 19:19 | brkX2-12h | BERAUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 5.29x); RSI<60 (skrg 81.1); Stoch%K<70 (skrg 85.8)
2026-08-21 19:19 | brkX2-12h | ONDOUSDT | lolos 6/9 | belum: RSI<60 (skrg 66.4); Stoch%K<70 (skrg 85.8)
2026-08-21 19:19 | brkX2-12h | VIRTUALUSDT | lolos 6/9 | belum: RSI<60 (skrg 77.5); Stoch%K<70 (skrg 86.4)
2026-08-21 19:19 | brkX2-12h | SPKUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 7.17x); RSI<60 (skrg 73.6); Stoch%K<70 (skrg 81.3)
2026-08-21 19:19 | brkX2-12h | PLUMEUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 0.25x); RSI<60 (skrg 67.3); Stoch%K<70 (skrg 75.0)
2026-08-21 19:19 | brkX2-12h | PUMPUSDT | lolos 6/9 | belum: RSI<60 (skrg 81.3); Stoch%K<70 (skrg 92.5)
2026-08-21 19:19 | brkX2-12h | SKYUSDT | lolos 6/9 | belum: RSI<60 (skrg 83.3); Stoch%K<70 (skrg 89.0)
2026-08-21 19:19 | brkX2-12h | XPLUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 6.76x); RSI<60 (skrg 81.6); Stoch%K<70 (skrg 89.3)
2026-08-21 19:19 | brkX2-12h | FFUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 68.3); Stoch%K<70 (skrg 71.9)
